VariableName,Form,VariableType,ShortDescriptor,DataType,AllowableCodes
NPFTDT10,np,Original NP question,FTLD-tau subtype - other 3R + 4R tauopathy,Numeric cross-sectional," 0 = No
1 = Yes
8 = Not assessed
9 = Missing/unknown
-4 = Not available, NP Form version submitted did not collect data in this way
Blank	Blank if NPFTDTAU = 0"
NPFRONT,np,Original NP question,Frontemporal dementia and parkinsonism with tau-positive or argyrophilic inclusions,Numeric cross-sectional," 1 = Yes
2 = No
3 = Not assessed
9 = Missing/unknown
-4 = Not available, NP Form version submitted did not collect data in this way"
NPTAU,np,Original NP question,"Tauopathy, other (e.g., tangle-only dementia and argyrophilic grain dementia)",Numeric cross-sectional," 1 = Yes
2 = No
3 = Not assessed
9 = Missing/unknown
-4 = Not available, NP Form version submitted did not collect data in this way"
NPFTD,np,Original NP question,FTD with ubiquitin-positive (tau-negative) inclusions,Numeric cross-sectional," 1 = FTD with motor neuron disease
2 = FTD without motor neuron disease
3 = None present
4 = Not assessed
9 = Missing/unknown
-4 = Not available, NP Form version submitted did not collect data in this way"
NPFTDTDP,np,Original NP question,FTLD with TDP-43 pathology (FTLD-TDP),Numeric cross-sectional," 0 = No
1 = Yes
8 = Not assessed
9 = Missing/unknown
-4 = Not available, NP Form version submitted did not collect data in this way"
NPALSMND,np,Original NP question,ALS/motor neuron disease (MND),Numeric cross-sectional," 0 = No
1 = Yes, with TDP-43 inclusions in motor neurons
2 = Yes, with FUS inclusions in motor neurons
3 = Yes, with SOD1 inclusions in motor neurons
4 = Yes, with other inclusions
5 = Yes, with no specific inclusions
8 = Not assessed
9 = Missing/unknown
-4 = Not available, NP Form version submitted did not collect data in this way"
NPOFTD,np,Original NP question,Other FTLD,Numeric cross-sectional," 0 = No
1 = Yes
8 = Not assessed
9 = Missing/unknown
-4 = Not available, NP Form version submitted did not collect data in this way"
NPOFTD1,np,Original NP question,Other FTLD subtype - atypical FTLD-U,Numeric cross-sectional," 0 = No
1 = Yes
8 = Not assessed
9 = Missing/unknown
-4 = Not available, NP Form version submitted did not collect data in this way
Blanks	Blank if NPOFTD = 0"
NPOFTD2,np,Original NP question,Other FTLD subtype - NIFID (neuronal intermediate filament inclusions disease),Numeric cross-sectional," 0 = No
1 = Yes
8 = Not assessed
9 = Missing/unknown
-4 = Not available, NP Form version submitted did not collect data in this way
Blanks	Blank if NPOFTD = 0"
NPOFTD3,np,Original NP question,Other FTLD subtype - BIBD (basophilic inclusion body disease),Numeric cross-sectional," 0 = No
1 = Yes
8 = Not assessed
9 = Missing/unknown
-4 = Not available, NP Form version submitted did not collect data in this way
Blanks	Blank if NPOFTD = 0"
NPOFTD4,np,Original NP question,"Other FTLD subtype - FTLD-UPS (ubiquitin-proteasome system [ubiquitin or p62 positive, tau/TDP-43/FUS negative inclusions])",Numeric cross-sectional," 0 = No
1 = Yes
8 = Not assessed
9 = Missing/unknown
-4 = Not available, NP Form version submitted did not collect data in this way
Blanks	Blank if NPOFTD = 0"
NPOFTD5,np,Original NP question,"Other FTLD subtype - FTLD-NOS (includes dementia lacking distinctive histology [DLDH] and FTLD with no inclusions [FTLD-NI] detected by tau, TDP-43, or ubiquitin/p62 IHC)",Numeric cross-sectional," 0 = No
1 = Yes
8 = Not assessed
9 = Missing/unknown
-4 = Not available, NP Form version submitted did not collect data in this way
Blanks	Blank if NPOFTD = 0"
NPFTDNO,np,Original NP question,FTD with no distinctive histopathology present,Numeric cross-sectional," 1 = Yes
2 = No
3 = Not assessed
9 = Missing/unknown
-4 = Not available, NP Form version submitted did not collect data in this way"
NPFTDSPC,np,Original NP question,"FTD ""not otherwise specified"" present",Numeric cross-sectional," 1 = Yes
2 = No
3 = Not assessed
9 = Missing/unknown
-4 = Not available, NP Form version submitted did not collect data in this way"
NPTDPA,np,Original NP question,Distribution of TDP-43 immunoreactive inclusions - spinal cord,Numeric cross-sectional," 0 = No
1 = Yes
8 = Not assessed
9 = Missing/unknown
-4 = Not available, NP Form version submitted did not collect data in this way"
NPTDPB,np,Original NP question,Distribution of TDP-43 immunoreactive inclusions - amygdala,Numeric cross-sectional," 0 = No
1 = Yes
8 = Not assessed
9 = Missing/unknown
-4 = Not available, NP Form version submitted did not collect data in this way"
NPTDPC,np,Original NP question,Distribution of TDP-43 immunoreactive inclusions - hippocampus,Numeric cross-sectional," 0 = No
1 = Yes
8 = Not assessed
9 = Missing/unknown
-4 = Not available, NP Form version submitted did not collect data in this way"
NPTDPD,np,Original NP question,Distribution of TDP-43 immunoreactive inclusions - entorhinal/inferior temporal cortex,Numeric cross-sectional," 0 = No
1 = Yes
8 = Not assessed
9 = Missing/unknown
-4 = Not available, NP Form version submitted did not collect data in this way"
NPTDPE,np,Original NP question,Distribution of TDP-43 immunoreactive inclusions - neocortex,Numeric cross-sectional," 0 = No
1 = Yes
8 = Not assessed
9 = Missing/unknown
-4 = Not available, NP Form version submitted did not collect data in this way"
NPPDXA,np,Original NP question,Pigment-spheroid degeneration/NBIA,Numeric cross-sectional," 0 = No
1 = Yes
8 = Not assessed
9 = Missing/unknown
-4 = Not available, NP Form version submitted did not collect data in this way"
NPPDXB,np,Original NP question,Multiple system atrophy,Numeric cross-sectional," 0 = No
1 = Yes
8 = Not assessed
9 = Missing/unknown
-4 = Not available, NP Form version submitted did not collect data in this way"
NACCPRIO,np,NACC Derived Variable,Prion disease,Numeric cross-sectional," 0 = No
1 = Yes
8 = Not assessed
9 = Missing/unknown"
NPPDXD,np,Original NP question,"Trinucleotide disease (Huntington disease, SCA, other)",Numeric cross-sectional," 0 = No
1 = Yes
8 = Not assessed
9 = Missing/unknown
-4 = Not available, NP Form version submitted did not collect data in this way"
NPPDXE,np,Original NP question,Malformation of cortical development,Numeric cross-sectional," 0 = No
1 = Yes
8 = Not assessed
9 = Missing/unknown
-4 = Not available, NP Form version submitted did not collect data in this way"
NPPDXF,np,Original NP question,Metabolic/storage disorder of any type,Numeric cross-sectional," 0 = No
1 = Yes
8 = Not assessed
9 = Missing/unknown
-4 = Not available, NP Form version submitted did not collect data in this way"
NPPDXG,np,Original NP question,"White matter disease, leukodystrophy",Numeric cross-sectional," 0 = No
1 = Yes
8 = Not assessed
9 = Missing/unknown
-4 = Not available, NP Form version submitted did not collect data in this way"
NPPDXH,np,Original NP question,"White matter disease, multiple sclerosis or other demyelinating disease",Numeric cross-sectional," 0 = No
1 = Yes
8 = Not assessed
9 = Missing/unknown
-4 = Not available, NP Form version submitted did not collect data in this way"
NPPDXI,np,Original NP question,"Contusion/traumatic brain injury of any type, acute",Numeric cross-sectional," 0 = No
1 = Yes
8 = Not assessed
9 = Missing/unknown
-4 = Not available, NP Form version submitted did not collect data in this way"
NPPDXJ,np,Original NP question,"Contusion/traumatic brain injury of any type, chronic",Numeric cross-sectional," 0 = No
1 = Yes
8 = Not assessed
9 = Missing/unknown
-4 = Not available, NP Form version submitted did not collect data in this way"
NPPDXK,np,Original NP question,"Neoplasm, primary",Numeric cross-sectional," 0 = No
1 = Yes
8 = Not assessed
9 = Missing/unknown
-4 = Not available, NP Form version submitted did not collect data in this way"
NPPDXL,np,Original NP question,"Neoplasm, metastatic",Numeric cross-sectional," 0 = No
1 = Yes
8 = Not assessed
9 = Missing/unknown
-4 = Not available, NP Form version submitted did not collect data in this way"
NPPDXM,np,Original NP question,"Infectious process of any type (encephalitis, abscess, etc.)",Numeric cross-sectional," 0 = No
1 = Yes
8 = Not assessed
9 = Missing/unknown
-4 = Not available, NP Form version submitted did not collect data in this way"
NPPDXN,np,Original NP question,"Herniation, any site",Numeric cross-sectional," 0 = No
1 = Yes
8 = Not assessed
9 = Missing/unknown
-4 = Not available, NP Form version submitted did not collect data in this way"
NACCDOWN,np,NACC Derived Variable,Down syndrome,Numeric cross-sectional," 1 = Flag for known mutation
7 = No flag for known mutation (not present, not assessed, missing or unknown)"
NPPDXP,np,Original NP question,AD-related genes,Numeric cross-sectional," 0 = No
1 = Yes
8 = Not assessed
9 = Missing/unknown
-4 = Not available, NP Form version submitted did not collect data in this way"
NPPDXQ,np,Original NP question,FTLD-related genes,Numeric cross-sectional," 0 = No
1 = Yes
8 = Not assessed
9 = Missing/unknown
-4 = Not available, NP Form version submitted did not collect data in this way"
NACCOTHP,np,NACC Derived Variable,Other pathologic diagnosis,Numeric cross-sectional," 0 = No
1 = Yes, one or more written-in diagnoses
8 = Not assessed
9 = Unknown"
NACCWRI1,np,NACC Derived Variable,First other pathologic diagnosis write-in,Character cross-sectional," Any text or numbers 
Blanks	Blank if NACCOTHP=/=1"
NACCWRI2,np,NACC Derived Variable,Second other pathologic diagnosis write-in,Character cross-sectional," Any text or numbers 
Blanks	Blank if NACCOTHP=/=1 or if only one write-in diagnosis"
NACCWRI3,np,NACC Derived Variable,Third other pathologic diagnosis write-in,Character cross-sectional," Any text or numbers 
Blanks	Blank if NACCOTHP=/=1 or if only two write-in diagnoses"
NACCBNKF,np,NACC Derived Variable,Banked frozen brain,Numeric cross-sectional," 0 = No
1 = Yes
9 = Missing/unknown
-4 = Not available, NP Form version submitted did not collect data in this way"
NPBNKB,np,Original NP question,Banked frozen wedge of cerebellum or other sample for future DNA prep,Numeric cross-sectional," 0 = No
1 = Yes
9 = Missing/unknown
-4 = Not available, NP Form version submitted did not collect data in this way"
NACCFORM,np,NACC Derived Variable,Formalin- or paraformaldehyde-fixed brain,Numeric cross-sectional," 0 = No
1 = Yes
9 = Missing/unknown
-4 = Not available, NP Form version submitted did not collect data in this way"
NACCPARA,np,NACC Derived Variable,Paraffin-embedded blocks of brain regions,Numeric cross-sectional," 0 = No
1 = Yes
9 = Missing/unknown
-4 = Not available, NP Form version submitted did not collect data in this way"
NACCCSFP,np,NACC Derived Variable,Banked postmortem CSF,Numeric cross-sectional," 0 = No
1 = Yes
9 = Missing/unknown
-4 = Not available, NP Form version submitted did not collect data in this way"
NPBNKF,np,Original NP question,Banked postmortem blood or serum,Numeric cross-sectional," 0 = No
1 = Yes
9 = Missing/unknown
-4 = Not available, NP Form version submitted did not collect data in this way"
NPFAUT,np,Original NP question,Full autopsy performed,Numeric cross-sectional," 0 = No
1 = Yes
9 = Missing/unknown
-4 = Not available, NP Form version submitted did not collect data in this way"
NPFAUT1,np,Original NP question,"If full autopsy performed, first major finding",Character cross-sectional," Any text or numbers
-4 = Not available, NP Form version submitted did not collect data in this way
Blanks	Blank if NPFAUT=/=1"
NPFAUT2,np,Original NP question,"If full autopsy performed, second major finding",Character cross-sectional," Any text or numbers
-4 = Not available, NP Form version submitted did not collect data in this way
Blanks	Blank if NPFAUT=/=1 or no additional findings"
NPFAUT3,np,Original NP question,"If full autopsy performed, third major finding",Character cross-sectional," Any text or numbers
-4 = Not available, NP Form version submitted did not collect data in this way
Blanks	Blank if NPFAUT=/=1 or no additional findings"
NPFAUT4,np,Original NP question,"If full autopsy performed, fourth major finding",Character cross-sectional," Any text or numbers
-4 = Not available, NP Form version submitted did not collect data in this way
Blanks	Blank if NPFAUT=/=1 or no additional findings"
NPNIT,np,Original NP question,NIA/Reagan Institute criteria,Numeric cross-sectional," 1-5
1 = High likelihood of dementia being due to Alzheimer's disease
2 = Intermediate likelihood of dementia being due to Alzheimer's disease
3 = Low likelihood of dementia being due to Alzheimer's disease
4 = Criteria not met
5 = Not Done
Missing Code 9 = Missing/unknown"
NPCERAD,np,Original NP question,CERAD criteria,Numeric cross-sectional," 1-5
1 = Definite Alzheimer's disease
2 = Probable Alzheimer's disease
3 = Possible Alzheimer's disease
4 = Criteria not met
5 = Not done
Missing Code 9 = Missing/Unknown"
NPADRDA,np,Original NP question,ADRDA/Khachaturian criteria,Numeric cross-sectional," 1-3
1 = Alzheimer's disease
2 = Criteria not met
3 = Not done
Missing Code 9 = Missing/Unknown"
NPOCRIT,np,Original NP question,Other criteria,Numeric cross-sectional," 1-3
1 = Alzheimer's disease, unspecified
2 = Criteria not met
3 = Not done
Missing Code 9 = Missing/Unknown"
NPVOTH,np,Original NP question,Other vascular,Numeric cross-sectional," 1-3
1 = Yes
2 = No
3 = Not assessed
Missing Code 9 = Missing/unknown"
NPLEWYCS,np,Original NP question,DLB clinical syndrome due to DLB pathology,Numeric cross-sectional," 1-3, 6
1 = Low
2 = Intermediate
3 = High
6 = N/A (not applicable)
Missing Code 9 = Missing/Unknown"
NPGENE,np,Original NP question,Family history,Numeric cross-sectional," 1-4
1 = Family history of similar neurodegenerative disorder
2 = Family history of other (dissimilar) neurodegenerative disorder
3 = No family history of similar or dissimilar neurodegenerative disorder
4 = Family history of both similar and dissimilar neurodegenerative disorder
Missing Code 9 = Family history unknown/not available/missing"
NPFHSPEC,np,Original NP question,Specify family history,Character cross-sectional," Any text or numbers
Blank if #17A, NPGENE = 1, 3 or 9"
NPTAUHAP,np,Original NP question,Tau haplotype,Numeric cross-sectional," 1-4
1 = H1, H1
2 = H1, H2
3 = H2, H2
4 = Other polymorphism (e.g., A0)
Missing Code 9 = Missing/unknown/not assessed"
NPPRNP,np,Original NP question,PRNP codon 129,Numeric cross-sectional," 1-3
1 = M, M
2 = M, V
3 = V, V
Missing Code 9 = Missing/unknown/not assessed"
NPCHROM,np,Original NP question,Genetic or chromosomal abnormalities,Numeric cross-sectional," 1-13, 50
1 = APP mutation
2 = PS1 mutation
3 = PS2 mutation
4 = Tau mutation
5 = Alpha-Synuclein mutation
6 = Parkin mutation
7 = PRNP mutation
8 = Huntingtin mutation
9 = Notch 3 mutation (CADASIL)
10 = Other known genetic mutation (e.g., ABri, neuroserpin)
11 = Down Syndrome
12 = Other chromosomal abnormality
13 = No known genetic or chromosomal abnormality
50 = Not assessed
99 = Missing/unknown"
NPPNORM,np,Original NP question,Normal brain - primary,Numeric cross-sectional," 1-2
1 = Yes
2 = No"
NPCNORM,np,Original NP question,Normal brain - contributing,Numeric cross-sectional," 1-2
1 = Yes
2 = No"
NPPADP,np,Original NP question,AD pathology present but insufficient for AD diagnosis - primary,Numeric cross-sectional," 1-2
1 = Yes
2 = No"
NPCADP,np,Original NP question,AD pathology present but insufficient for AD diagnosis - contributing,Numeric cross-sectional," 1-2
1 = Yes
2 = No"
NPPAD,np,Original NP question,Alzheimer's disease - primary,Numeric cross-sectional," 1-2
1 = Yes
2 = No"
NPCAD,np,Original NP question,Alzheimer's disease - contributing,Numeric cross-sectional," 1-2
1 = Yes
2 = No"
NPPLEWY,np,Original NP question,"Lewy body disease, with or without AD - primary",Numeric cross-sectional," 1-2
1 = Yes
2 = No"
NPCLEWY,np,Original NP question,"Lewy body disease, with or without AD - contributing",Numeric cross-sectional," 1-2
1 = Yes
2 = No"
NPPVASC,np,Original NP question,Vascular disease - primary,Numeric cross-sectional," 1-2
1 = Yes
2 = No"
NPCVASC,np,Original NP question,Vascular disease - contributing,Numeric cross-sectional," 1-2
1 = Yes
2 = No"
NPPFTLD,np,Original NP question,FTLD - primary,Numeric cross-sectional," 1-2
1 = Yes
2 = No"
NPCFTLD,np,Original NP question,FTLD - contributing,Numeric cross-sectional," 1-2
1 = Yes
2 = No"
NPPHIPP,np,Original NP question,Hippocampal sclerosis - primary,Numeric cross-sectional," 1-2
1 = Yes
2 = No"
NPCHIPP,np,Original NP question,Hippocampal sclerosis - contributing,Numeric cross-sectional," 1-2
1 = Yes
2 = No"
NPPPRION,np,Original NP question,Prion - associated disease - primary,Numeric cross-sectional," 1-2
1 = Yes
2 = No"
NPCPRION,np,Original NP question,Prion - associated disease - contributing,Numeric cross-sectional," 1-2
1 = Yes
2 = No"
NPPOTH1,np,Original NP question,Other primary pathologic diagnosis 1,Numeric cross-sectional," 1-2
1 = Yes
2 = No"
NPCOTH1,np,Original NP question,Other contributing pathologic diagnosis 1,Numeric cross-sectional," 1-2
1 = Yes
2 = No"
NPOTH1X,np,Original NP question,Other pathologic diagnosis 1 - specify,Character cross-sectional," Any valid characters except "", ', %, &"
NPPOTH2,np,Original NP question,Other primary pathologic diagnosis 2,Numeric cross-sectional," 1-2
1 = Yes
2 = No"
NPCOTH2,np,Original NP question,Other contributing pathologic diagnosis 2,Numeric cross-sectional," 1-2
1 = Yes
2 = No"
NPOTH2X,np,Original NP question,Other pathologic diagnosis 2 - specify,Character cross-sectional," Any valid characters except "", ', %, &"
NPPOTH3,np,Original NP question,Other primary pathologic diagnosis 3,Numeric cross-sectional," 1-2
1 = Yes
2 = No"
NPCOTH3,np,Original NP question,Other contributing pathologic diagnosis 3,Numeric cross-sectional," 1-2
1 = Yes
2 = No"
NPOTH3X,np,Original NP question,Other pathologic diagnosis 3 - specify,Character cross-sectional," Any valid characters except "", ', %, &"
